Date,Hour,Calls
2023-05-31,03:00,2
2023-05-31,04:00,187
2023-05-31,05:00,55
2023-05-31,06:00,27
2023-05-31,09:00,34
2023-05-31,11:00,2
2023-05-31,12:00,1
2023-06-01,03:00,2
2023-06-01,04:00,486
2023-06-01,05:00,388
2023-06-01,06:00,102
2023-06-01,07:00,31
2023-06-01,08:00,108
2023-06-01,09:00,44
2023-06-01,10:00,1
2023-06-01,12:00,1
2023-06-02,03:00,6
2023-06-02,04:00,528
2023-06-02,05:00,401
2023-06-02,06:00,162
2023-06-02,07:00,114
2023-06-02,08:00,42
2023-06-02,09:00,22
2023-06-02,10:00,1
2023-06-02,11:00,1
2023-06-02,12:00,1
2023-06-02,13:00,1
2023-06-03,03:00,6
2023-06-03,04:00,967
2023-06-03,05:00,311
2023-06-03,06:00,93
2023-06-03,07:00,78
2023-06-03,08:00,39
2023-06-03,09:00,2
2023-06-03,10:00,1
2023-06-03,11:00,2
2023-06-03,12:00,3
2023-06-03,13:00,3
2023-06-04,03:00,2
2023-06-04,04:00,236
2023-06-04,05:00,358
2023-06-04,06:00,152
2023-06-04,07:00,50
2023-06-04,08:00,73
2023-06-04,09:00,86
2023-06-04,10:00,40
2023-06-04,12:00,3
2023-06-05,03:00,6
2023-06-05,04:00,55
2023-06-05,05:00,149
2023-06-05,06:00,105
2023-06-05,07:00,53
2023-06-05,08:00,17
2023-06-05,09:00,29
2023-06-05,11:00,1
2023-06-05,12:00,1
2023-06-06,04:00,325
2023-06-06,05:00,1692
2023-06-06,06:00,868
2023-06-06,07:00,300
2023-06-06,08:00,50
2023-06-06,09:00,129
2023-06-06,10:00,3
2023-06-06,11:00,1
2023-06-07,03:00,2
2023-06-07,04:00,90
2023-06-07,05:00,1616
2023-06-07,06:00,545
2023-06-07,07:00,58
2023-06-07,08:00,51
2023-06-07,09:00,114
2023-06-07,10:00,42
2023-06-07,11:00,59
2023-06-07,12:00,1
2023-06-08,03:00,1
2023-06-08,04:00,102
2023-06-08,05:00,876
2023-06-08,06:00,535
2023-06-08,07:00,359
2023-06-08,08:00,1012
2023-06-08,09:00,515
2023-06-08,10:00,1012
2023-06-08,11:00,31
2023-06-09,03:00,1
2023-06-09,04:00,91
2023-06-09,05:00,1253
2023-06-09,06:00,2365
2023-06-09,07:00,1675
2023-06-09,08:00,843
2023-06-09,09:00,1749
2023-06-09,10:00,393
2023-06-10,04:00,266
2023-06-10,05:00,163
2023-06-10,06:00,29
2023-06-10,07:00,99
2023-06-10,08:00,131
2023-06-10,09:00,338
2023-06-10,10:00,10
2023-06-11,04:00,87
2023-06-11,05:00,220
2023-06-11,06:00,77
2023-06-11,07:00,1
2023-06-11,08:00,13
2023-06-11,09:00,36
2023-06-11,10:00,20
2023-06-11,11:00,22
2023-06-12,04:00,30
2023-06-12,05:00,700
2023-06-12,06:00,875
2023-06-12,07:00,181
2023-06-12,08:00,116
2023-06-12,09:00,412
2023-06-12,10:00,31
2023-06-12,11:00,4
2023-06-13,05:00,451
2023-06-13,06:00,386
2023-06-13,07:00,126
2023-06-13,08:00,112
2023-06-13,09:00,31
2023-06-13,10:00,227
2023-06-13,11:00,6
2023-06-14,04:00,74
2023-06-14,05:00,917
2023-06-14,06:00,265
2023-06-14,07:00,32
2023-06-14,08:00,135
2023-06-15,04:00,19
2023-06-15,05:00,339
2023-06-15,06:00,120
2023-06-15,07:00,154
2023-06-15,08:00,129
2023-06-15,09:00,75
2023-06-15,10:00,1
2023-06-16,04:00,13
2023-06-16,05:00,246
2023-06-16,06:00,73
2023-06-16,07:00,89
2023-06-16,08:00,54
2023-06-16,09:00,54
2023-06-16,10:00,14
2023-06-16,12:00,1
2023-06-17,04:00,271
2023-06-17,05:00,819
2023-06-17,06:00,315
2023-06-17,07:00,81
2023-06-17,08:00,91
2023-06-17,09:00,33
2023-06-17,10:00,10
2023-06-18,04:00,17
2023-06-18,05:00,108
2023-06-18,06:00,47
2023-06-18,07:00,166
2023-06-18,08:00,54
2023-06-18,09:00,34
2023-06-18,10:00,208
2023-06-19,04:00,121
2023-06-19,05:00,240
2023-06-19,06:00,135
2023-06-19,07:00,233
2023-06-19,08:00,138
2023-06-19,09:00,6
2023-06-19,10:00,38
2023-06-20,04:00,30
2023-06-20,05:00,1100
2023-06-20,06:00,436
2023-06-20,07:00,175
2023-06-20,08:00,35
2023-06-20,09:00,99
2023-06-20,10:00,22
2023-06-21,04:00,18
2023-06-21,05:00,830
2023-06-21,06:00,218
2023-06-21,07:00,181
2023-06-21,08:00,130
2023-06-21,09:00,142
2023-06-21,10:00,12
2023-06-22,04:00,6
2023-06-22,05:00,306
2023-06-22,06:00,304
2023-06-22,07:00,11
2023-06-22,08:00,75
2023-06-22,09:00,21
2023-06-22,11:00,15
2023-06-23,05:00,306
2023-06-23,06:00,28
2023-06-23,07:00,87
2023-06-23,08:00,10
2023-06-23,09:00,11
2023-06-23,10:00,161
2023-06-23,11:00,11
2023-06-24,05:00,289
2023-06-24,06:00,87
2023-06-24,07:00,770
2023-06-24,08:00,413
2023-06-24,09:00,171
2023-06-24,10:00,149
2023-06-24,11:00,16
2023-06-25,05:00,273
2023-06-25,06:00,120
2023-06-25,07:00,91
2023-06-25,08:00,163
2023-06-25,09:00,18
2023-06-25,10:00,90
2023-06-25,11:00,3
2023-06-26,05:00,85
2023-06-26,06:00,170
2023-06-26,07:00,214
2023-06-26,08:00,247
2023-06-26,09:00,94
2023-06-26,10:00,120
2023-06-26,11:00,69
2023-06-27,05:00,147
2023-06-27,06:00,219
2023-06-27,07:00,125
2023-06-27,08:00,269
2023-06-27,09:00,83
2023-06-27,10:00,76
2023-06-27,11:00,57
2023-06-28,05:00,591
2023-06-28,06:00,445
2023-06-28,07:00,176
2023-06-28,08:00,384
2023-06-28,09:00,90
2023-06-28,10:00,171
2023-06-28,11:00,181
2023-06-29,05:00,95
2023-06-29,06:00,120
2023-06-29,07:00,105
2023-06-29,08:00,16
2023-06-29,09:00,70
2023-06-30,03:00,1
2023-06-30,05:00,1389
2023-06-30,06:00,96
2023-06-30,07:00,82
2023-06-30,08:00,9
2023-06-30,09:00,11
2023-06-30,10:00,69
2023-06-30,11:00,173
2023-07-01,04:00,1
2023-07-01,05:00,695
2023-07-01,06:00,206
2023-07-01,07:00,166
2023-07-01,08:00,28
2023-07-01,09:00,44
2023-07-01,10:00,163
2023-07-01,11:00,43
2023-07-02,04:00,183
2023-07-02,05:00,1248
2023-07-02,06:00,100
2023-07-02,07:00,132
2023-07-02,08:00,37
2023-07-02,09:00,110
2023-07-02,10:00,104
2023-07-02,11:00,23
2023-07-03,04:00,5
2023-07-03,05:00,915
2023-07-03,06:00,179
2023-07-03,07:00,73
2023-07-03,08:00,82
2023-07-03,09:00,86
2023-07-03,10:00,37
2023-07-03,11:00,38
2023-07-04,04:00,18
2023-07-04,05:00,465
2023-07-04,06:00,277
2023-07-04,07:00,101
2023-07-04,08:00,58
2023-07-04,09:00,36
2023-07-04,10:00,66
2023-07-04,11:00,15
2023-07-05,03:00,1
2023-07-05,04:00,29
2023-07-05,05:00,339
2023-07-05,06:00,451
2023-07-05,07:00,140
2023-07-05,08:00,38
2023-07-05,09:00,27
2023-07-05,10:00,35
2023-07-05,11:00,1
2023-07-06,05:00,478
2023-07-06,06:00,144
2023-07-06,07:00,150
2023-07-06,08:00,63
2023-07-06,09:00,56
2023-07-06,10:00,52
2023-07-06,11:00,93
2023-07-07,05:00,690
2023-07-07,06:00,755
2023-07-07,07:00,925
2023-07-07,08:00,575
2023-07-07,09:00,166
2023-07-07,10:00,196
2023-07-08,04:00,36
2023-07-08,05:00,581
2023-07-08,06:00,1099
2023-07-08,07:00,611
2023-07-08,08:00,396
2023-07-08,09:00,348
2023-07-08,10:00,533
2023-07-08,11:00,240
2023-07-09,04:00,158
2023-07-09,05:00,609
2023-07-09,06:00,116
2023-07-09,07:00,156
2023-07-09,08:00,83
2023-07-09,09:00,76
2023-07-09,10:00,2
2023-07-09,11:00,39
2023-07-10,04:00,70
2023-07-10,05:00,440
2023-07-10,06:00,564
2023-07-10,07:00,597
2023-07-10,08:00,472
2023-07-10,09:00,456
2023-07-10,10:00,687
2023-07-10,11:00,147
2023-07-11,04:00,103
2023-07-11,05:00,892
2023-07-11,06:00,924
2023-07-11,07:00,410
2023-07-11,08:00,254
2023-07-11,09:00,236
2023-07-11,10:00,780
2023-07-11,11:00,129
2023-07-12,04:00,273
2023-07-12,05:00,628
2023-07-12,06:00,373
2023-07-12,07:00,91
2023-07-12,08:00,94
2023-07-12,09:00,214
2023-07-12,10:00,126
2023-07-12,11:00,29
2023-07-13,04:00,626
2023-07-13,05:00,1286
2023-07-13,06:00,78
2023-07-13,07:00,152
2023-07-13,08:00,120
2023-07-13,09:00,33
2023-07-13,10:00,42
2023-07-13,11:00,27
2023-07-14,04:00,521
2023-07-14,05:00,212
2023-07-14,06:00,204
2023-07-14,07:00,118
2023-07-14,08:00,214
2023-07-14,09:00,114
2023-07-14,10:00,86
2023-07-14,11:00,27
2023-07-15,04:00,478
2023-07-15,05:00,188
2023-07-15,06:00,220
2023-07-15,07:00,83
2023-07-15,08:00,152
2023-07-15,09:00,51
2023-07-15,10:00,166
2023-07-15,11:00,31
2023-07-16,04:00,82
2023-07-16,05:00,202
2023-07-16,06:00,391
2023-07-16,07:00,84
2023-07-16,08:00,27
2023-07-16,09:00,4
2023-07-16,10:00,90
2023-07-16,11:00,368
2023-07-17,04:00,299
2023-07-17,05:00,147
2023-07-17,06:00,486
2023-07-17,07:00,1443
2023-07-17,08:00,1270
2023-07-17,09:00,593
2023-07-17,10:00,309
2023-07-17,11:00,72
2023-07-18,04:00,388
2023-07-18,05:00,390
2023-07-18,06:00,173
2023-07-18,07:00,105
2023-07-18,08:00,47
2023-07-18,09:00,65
2023-07-18,10:00,59
2023-07-18,11:00,45
2023-07-19,04:00,175
2023-07-19,05:00,169
2023-07-19,06:00,310
2023-07-19,07:00,157
2023-07-19,08:00,100
2023-07-19,09:00,107
2023-07-19,10:00,23
2023-07-19,11:00,63
2023-07-20,04:00,43
2023-07-20,05:00,586
2023-07-20,06:00,107
2023-07-20,07:00,129
2023-07-20,08:00,92
2023-07-20,09:00,201
2023-07-20,10:00,150
2023-07-20,11:00,112
2023-07-21,04:00,74
2023-07-21,05:00,645
2023-07-21,06:00,363
2023-07-21,07:00,80
2023-07-21,08:00,217
2023-07-21,09:00,297
2023-07-21,10:00,245
2023-07-21,11:00,86
2023-07-22,04:00,64
2023-07-22,05:00,563
2023-07-22,06:00,160
2023-07-22,07:00,47
2023-07-22,08:00,61
2023-07-22,09:00,160
2023-07-22,10:00,47
2023-07-22,11:00,71
2023-07-22,12:00,1
2023-07-23,04:00,89
2023-07-23,05:00,239
2023-07-23,06:00,268
2023-07-23,07:00,128
2023-07-23,08:00,30
2023-07-23,09:00,89
2023-07-23,10:00,104
2023-07-23,11:00,24
2023-07-24,04:00,371
2023-07-24,05:00,220
2023-07-24,06:00,177
2023-07-24,07:00,357
2023-07-24,08:00,73
2023-07-24,09:00,211
2023-07-24,10:00,151
2023-07-24,11:00,195
2023-07-25,04:00,701
2023-07-25,05:00,1155
2023-07-25,06:00,219
2023-07-25,07:00,263
2023-07-25,08:00,138
2023-07-25,09:00,387
2023-07-25,10:00,155
2023-07-25,11:00,488
