Date,Hour,Calls
2023-05-31,04:00,5030
2023-05-31,05:00,6148
2023-05-31,06:00,4518
2023-05-31,07:00,5407
2023-05-31,08:00,3704
2023-05-31,09:00,2499
2023-05-31,10:00,1497
2023-05-31,11:00,1340
2023-06-01,04:00,1251
2023-06-01,05:00,831
2023-06-01,06:00,670
2023-06-01,07:00,1489
2023-06-01,08:00,1051
2023-06-01,09:00,958
2023-06-01,10:00,971
2023-06-01,11:00,246
2023-06-02,04:00,1468
2023-06-02,05:00,247
2023-06-02,06:00,1743
2023-06-02,07:00,645
2023-06-02,08:00,268
2023-06-02,09:00,330
2023-06-02,10:00,634
2023-06-02,11:00,210
2023-06-02,13:00,1
2023-06-03,03:00,1
2023-06-03,04:00,819
2023-06-03,05:00,267
2023-06-03,06:00,187
2023-06-03,07:00,97
2023-06-03,08:00,36
2023-06-03,09:00,114
2023-06-03,10:00,642
2023-06-03,11:00,123
2023-06-04,04:00,782
2023-06-04,05:00,601
2023-06-04,06:00,655
2023-06-04,07:00,719
2023-06-04,08:00,865
2023-06-04,09:00,4375
2023-06-04,10:00,2180
2023-06-04,11:00,556
2023-06-04,12:00,1
2023-06-05,04:00,319
2023-06-05,05:00,186
2023-06-05,06:00,320
2023-06-05,07:00,496
2023-06-05,08:00,529
2023-06-05,09:00,318
2023-06-05,10:00,631
2023-06-05,11:00,130
2023-06-06,04:00,887
2023-06-06,05:00,139
2023-06-06,06:00,120
2023-06-06,07:00,47
2023-06-06,08:00,61
2023-06-06,09:00,208
2023-06-06,10:00,89
2023-06-06,11:00,84
2023-06-06,12:00,1
2023-06-06,13:00,8
2023-06-07,03:00,3
2023-06-07,04:00,155
2023-06-07,05:00,463
2023-06-07,06:00,2
2023-06-07,07:00,53
2023-06-07,08:00,64
2023-06-07,09:00,23
2023-06-07,10:00,124
2023-06-07,11:00,163
2023-06-07,12:00,1
2023-06-08,03:00,1
2023-06-08,04:00,471
2023-06-08,05:00,190
2023-06-08,06:00,46
2023-06-08,07:00,336
2023-06-08,08:00,7671
2023-06-08,09:00,8262
2023-06-08,10:00,4284
2023-06-08,11:00,151
2023-06-09,03:00,1
2023-06-09,04:00,750
2023-06-09,05:00,943
2023-06-09,06:00,8477
2023-06-09,07:00,7087
2023-06-09,08:00,7770
2023-06-09,09:00,10043
2023-06-09,10:00,8333
2023-06-09,11:00,517
2023-06-10,04:00,524
2023-06-10,05:00,1161
2023-06-10,06:00,126
2023-06-10,07:00,420
2023-06-10,08:00,20
2023-06-10,09:00,1
2023-06-10,10:00,2
2023-06-11,03:00,2
2023-06-11,04:00,542
2023-06-11,05:00,85
2023-06-11,06:00,849
2023-06-11,07:00,271
2023-06-11,08:00,223
2023-06-11,09:00,177
2023-06-11,10:00,632
2023-06-11,11:00,220
2023-06-11,12:00,1
2023-06-12,04:00,110
2023-06-12,05:00,1402
2023-06-12,06:00,8
2023-06-12,07:00,28
2023-06-12,08:00,34
2023-06-12,09:00,118
2023-06-12,10:00,65
2023-06-12,11:00,33
2023-06-13,04:00,100
2023-06-13,05:00,94
2023-06-13,06:00,22
2023-06-13,07:00,58
2023-06-13,08:00,12
2023-06-13,09:00,51
2023-06-13,10:00,1804
2023-06-13,11:00,431
2023-06-13,12:00,2
2023-06-14,04:00,1181
2023-06-14,05:00,14135
2023-06-14,06:00,23734
2023-06-14,07:00,17103
2023-06-14,08:00,15125
2023-06-14,09:00,13381
2023-06-14,10:00,9902
2023-06-14,11:00,2603
2023-06-15,04:00,1667
2023-06-15,05:00,9310
2023-06-15,06:00,4080
2023-06-15,07:00,902
2023-06-15,08:00,3939
2023-06-15,09:00,4448
2023-06-15,10:00,1942
2023-06-15,11:00,463
2023-06-15,12:00,1
2023-06-16,04:00,699
2023-06-16,05:00,486
2023-06-16,06:00,51
2023-06-16,07:00,127
2023-06-16,08:00,169
2023-06-16,09:00,69
2023-06-16,10:00,338
2023-06-16,11:00,153
2023-06-16,12:00,2
2023-06-16,13:00,3
2023-06-17,04:00,1019
2023-06-17,05:00,1852
2023-06-17,06:00,2704
2023-06-17,07:00,5152
2023-06-17,08:00,9488
2023-06-17,09:00,5299
2023-06-17,10:00,1716
2023-06-17,11:00,1
2023-06-18,04:00,730
2023-06-18,05:00,678
2023-06-18,06:00,640
2023-06-18,07:00,1148
2023-06-18,08:00,374
2023-06-18,09:00,481
2023-06-18,10:00,582
2023-06-18,11:00,148
2023-06-18,12:00,1
2023-06-19,04:00,256
2023-06-19,05:00,2681
2023-06-19,06:00,2750
2023-06-19,07:00,1816
2023-06-19,08:00,1483
2023-06-19,09:00,5
2023-06-19,10:00,53
2023-06-19,11:00,22
2023-06-19,12:00,3
2023-06-20,03:00,1
2023-06-20,04:00,164
2023-06-20,05:00,9775
2023-06-20,06:00,12562
2023-06-20,07:00,15793
2023-06-20,08:00,11457
2023-06-20,09:00,5754
2023-06-20,10:00,2219
2023-06-20,11:00,143
2023-06-21,04:00,2931
2023-06-21,05:00,8207
2023-06-21,06:00,3275
2023-06-21,07:00,8001
2023-06-21,08:00,3206
2023-06-21,09:00,1368
2023-06-21,10:00,854
2023-06-21,11:00,31
2023-06-21,12:00,1
2023-06-21,13:00,1
2023-06-22,03:00,2
2023-06-22,04:00,717
2023-06-22,05:00,2137
2023-06-22,06:00,135
2023-06-22,07:00,2020
2023-06-22,08:00,657
2023-06-22,09:00,847
2023-06-22,10:00,646
2023-06-22,11:00,131
2023-06-22,12:00,2
2023-06-22,13:00,1
2023-06-23,04:00,72
2023-06-23,05:00,276
2023-06-23,06:00,62
2023-06-23,07:00,382
2023-06-23,08:00,204
2023-06-23,09:00,526
2023-06-23,10:00,733
2023-06-23,11:00,327
2023-06-23,12:00,1
2023-06-24,04:00,591
2023-06-24,05:00,1410
2023-06-24,06:00,5680
2023-06-24,07:00,12577
2023-06-24,08:00,17034
2023-06-24,09:00,18546
2023-06-24,10:00,10005
2023-06-24,11:00,2681
2023-06-25,03:00,1
2023-06-25,04:00,92
2023-06-25,05:00,1206
2023-06-25,06:00,119
2023-06-25,07:00,525
2023-06-25,08:00,944
2023-06-25,09:00,998
2023-06-25,10:00,364
2023-06-25,11:00,169
2023-06-26,04:00,47
2023-06-26,05:00,649
2023-06-26,06:00,318
2023-06-26,07:00,120
2023-06-26,08:00,81
2023-06-26,09:00,180
2023-06-26,10:00,631
2023-06-26,11:00,1952
2023-06-27,04:00,36
2023-06-27,05:00,4875
2023-06-27,06:00,121
2023-06-27,07:00,100
2023-06-27,08:00,3313
2023-06-27,09:00,3599
2023-06-27,10:00,11452
2023-06-27,11:00,3937
2023-06-28,04:00,81
2023-06-28,05:00,1957
2023-06-28,06:00,1069
2023-06-28,07:00,4959
2023-06-29,04:00,598
2023-06-29,05:00,534
2023-06-29,06:00,85
2023-06-29,07:00,1232
2023-06-29,08:00,394
2023-06-29,09:00,50
2023-06-29,10:00,186
2023-06-29,11:00,72
2023-06-30,04:00,61
2023-06-30,05:00,602
2023-06-30,06:00,9
2023-06-30,07:00,146
2023-06-30,08:00,338
2023-06-30,09:00,114
2023-06-30,10:00,238
2023-06-30,11:00,350
2023-06-30,12:00,1
2023-07-01,04:00,1235
2023-07-01,05:00,505
2023-07-01,06:00,3753
2023-07-01,07:00,4635
2023-07-01,08:00,8648
2023-07-01,09:00,7407
2023-07-01,10:00,10864
2023-07-01,11:00,3539
2023-07-02,04:00,103
2023-07-02,05:00,1293
2023-07-02,06:00,478
2023-07-02,07:00,1395
2023-07-02,08:00,1717
2023-07-02,09:00,3014
2023-07-02,10:00,2664
2023-07-02,11:00,3718
2023-07-02,12:00,1
2023-07-03,04:00,149
2023-07-03,05:00,528
2023-07-03,06:00,104
2023-07-03,07:00,26
2023-07-03,08:00,787
2023-07-03,09:00,103
2023-07-03,10:00,786
2023-07-03,11:00,433
2023-07-04,04:00,150
2023-07-04,05:00,89
2023-07-04,07:00,29
2023-07-04,08:00,315
2023-07-04,09:00,461
2023-07-04,10:00,337
2023-07-04,11:00,2464
2023-07-04,12:00,2
2023-07-05,04:00,97
2023-07-05,05:00,159
2023-07-05,06:00,37
2023-07-05,08:00,24
2023-07-05,09:00,178
2023-07-05,10:00,358
2023-07-05,11:00,1466
